                                                                                                         Name                 Type                                                                                                                                                              Input Shapes                                                                                                          Output Shapes  Has Trainable Weights
                                                                                    ParseExample/ParseExample          Placeholder                                                                                                                                                                        []                                                                                                  [TensorShape([None])]                  False
                                                                                                    map/Const                Const                                                                                                                                                                        []                                                                                                      [TensorShape([])]                  False
                                                                                      map/strided_slice/stack                Const                                                                                                                                                                        []                                                                                                     [TensorShape([1])]                  False
                                                                                    map/strided_slice/stack_1                Const                                                                                                                                                                        []                                                                                                     [TensorShape([1])]                  False
                                                                                    map/strided_slice/stack_2                Const                                                                                                                                                                        []                                                                                                     [TensorShape([1])]                  False
                                                                                                   tf_example          Placeholder                                                                                                                                                                        []                                                                                                    [TensorShape(None)]                  False
                                                                              ParseExample/ParseExample/names                Const                                                                                                                                                                        []                                                                                                     [TensorShape([0])]                  False
                                                                       ParseExample/ParseExample/dense_keys_0                Const                                                                                                                                                                        []                                                                                                      [TensorShape([])]                  False
                                                                                           ParseExample/Const                Const                                                                                                                                                                        []                                                                                                     [TensorShape([0])]                  False
                                                                           map/TensorArrayUnstack/range/start                Const                                                                                                                                                                        []                                                                                                      [TensorShape([])]                  False
                                                                   map/TensorArrayUnstack/strided_slice/stack                Const                                                                                                                                                                        []                                                                                                     [TensorShape([1])]                  False
                                                                 map/TensorArrayUnstack/strided_slice/stack_1                Const                                                                                                                                                                        []                                                                                                     [TensorShape([1])]                  False
                                                                 map/TensorArrayUnstack/strided_slice/stack_2                Const                                                                                                                                                                        []                                                                                                     [TensorShape([1])]                  False
                                                                           map/TensorArrayUnstack/range/delta                Const                                                                                                                                                                        []                                                                                                      [TensorShape([])]                  False
                                                                                              index_to_string          HashTableV2                                                                                                                                                                        []                                                                                                      [TensorShape([])]                  False
                                                                             map/TensorArrayStack/range/start                Const                                                                                                                                                                        []                                                                                                      [TensorShape([])]                  False
                                                                             map/TensorArrayStack/range/delta                Const                                                                                                                                                                        []                                                                                                      [TensorShape([])]                  False



                                                                              Inception/Conv2d_0a_3x3/weights           VariableV2                                                                                                                                                                        []                                                                                           [TensorShape([3, 3, 3, 16])]                  False
                                                            Inception/Inception/Conv2d_0a_3x3/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([16])]                  False
                                                                       Inception/Conv2d_0a_3x3/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([16])]                  False
                                                                Inception/Conv2d_0a_3x3/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([16])]                  False
                                                            Inception/Conv2d_0a_3x3/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([16])]                  False
                                                                              Inception/Conv2d_1a_3x3/weights           VariableV2                                                                                                                                                                        []                                                                                          [TensorShape([3, 3, 16, 32])]                  False
                                                            Inception/Inception/Conv2d_1a_3x3/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([32])]                  False
                                                                       Inception/Conv2d_1a_3x3/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([32])]                  False
                                                                Inception/Conv2d_1a_3x3/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([32])]                  False
                                                            Inception/Conv2d_1a_3x3/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([32])]                  False
                                                                              Inception/Conv2d_2a_3x3/weights           VariableV2                                                                                                                                                                        []                                                                                          [TensorShape([3, 3, 32, 32])]                  False
                                                            Inception/Inception/Conv2d_2a_3x3/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([32])]                  False
                                                                       Inception/Conv2d_2a_3x3/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([32])]                  False
                                                                Inception/Conv2d_2a_3x3/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([32])]                  False
                                                            Inception/Conv2d_2a_3x3/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([32])]                  False
                                                                              Inception/Conv2d_2b_3x3/weights           VariableV2                                                                                                                                                                        []                                                                                          [TensorShape([3, 3, 32, 64])]                  False
                                                            Inception/Inception/Conv2d_2b_3x3/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([64])]                  False
                                                                       Inception/Conv2d_2b_3x3/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([64])]                  False
                                                                Inception/Conv2d_2b_3x3/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([64])]                  False
                                                            Inception/Conv2d_2b_3x3/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([64])]                  False
                                                                              Inception/Conv2d_3b_1x1/weights           VariableV2                                                                                                                                                                        []                                                                                          [TensorShape([1, 1, 64, 80])]                  False
                                                            Inception/Inception/Conv2d_3b_1x1/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([80])]                  False
